ja,en
城[しろ]の中[なか]に密偵[みってい]がいるらしい,it seems there is a spy inside the castle; mittei means secret agent.
この事件[じけん]の黒幕[くろまく]はまだ生[い]きている,the mastermind behind this incident is still alive; kuromaku means hidden power broker.
王[おう]の暗殺[あんさつ]を止[と]めなければならない,we have to stop the assassination of the king; ansatsu means assassination.
刺客[しかく]が夜[よる]の道[みち]で待[ま]っていた,an assassin was waiting on the night road; shikaku means hired killer.
謀反[むほん]の噂[うわさ]が城[しろ]の中[なか]に広[ひろ]がった,rumors of treason spread through the castle; muhon means revolt against a lord.
あいつは裏[うら]で必[かなら]ず何[なに]かを企[たくら]む,he is always plotting something behind the scenes; takuramu means to scheme.
これも全[すべ]て敵[てき]の策略[さくりゃく]だったのか,so all of this was the enemy's stratagem; sakuryaku means scheme.
仲間[なかま]を罠[わな]に陥[おとしい]れるつもりか,do you mean to lure your own comrade into a trap; otoshiireru means to entrap.
味方[みかた]まで欺[あざむ]くとは思[おも]わなかった,I never thought you would deceive your own side; azamuku means to deceive.
甘[あま]い言葉[ことば]で人[ひと]を惑[まど]わす,he leads people astray with sweet words; madowasu means to bewitch.
剣[けん]を抜[ぬ]いて相手[あいて]を威嚇[いかく]する,I draw my sword and threaten my opponent; ikaku suru means to intimidate.
人々[ひとびと]を煽[あお]るような真似[まね]はやめろ,stop doing things that stir up the crowd; aoru means to incite.
相手[あいて]を侮[あなど]ると痛[いた]い目[め]を見[み]る,underestimate your opponent and you will regret it; anadoru means to make light of.
負[ま]けた相手[あいて]を嘲[あざけ]るな,do not sneer at an opponent who has lost; azakeru means to mock.
生[う]まれの低[ひく]い者[もの]を蔑[さげす]むな,do not scorn those of low birth; sagesumu means to look down on.
俺[おれ]の前[まえ]に立[た]ちはだかるつもりか,do you plan to stand in my way; tachihadakaru means to block the path.
この手[て]で必[かなら]ずあいつを討[う]つ,I will strike him down with my own hands; utsu means to strike down.
その安[やす]い自信[じしん]を打[う]ち砕[くだ]いてやる,I will shatter that cheap confidence of yours; uchikudaku means to smash.
この国[くに]を滅[ほろ]ぼすつもりなのか,do you intend to destroy this country; horobosu means to ruin.
力[ちから]におぼれた者[もの]はいずれ滅[ほろ]びる,those drunk on power will perish sooner or later; horobiru means to fall into ruin.
全[すべ]てを闇[やみ]に葬[ほうむ]るしかない,we have no choice but to bury it all in darkness; houmuru means to bury.
このまま闇[やみ]の中[なか]で朽[く]ちるのか,am I to rot away here in the dark; kuchiru means to decay.
こんな場所[ばしょ]で果[は]てるものか,as if I would meet my end in a place like this; hateru means to perish.
多[おお]くの兵[へい]が花[はな]のように散[ち]る,many soldiers fall like flowers; chiru means to scatter.
この村[むら]から人[ひと]の声[こえ]が絶[た]えた,the sound of human voices died out in this village; taeru means to cease.
昔[むかし]の縁[えん]をここで断[た]つ,here I sever the old ties; tatsu means to sever.
この血筋[ちすじ]を絶[た]やしてはならない,this bloodline must not be allowed to die out; tayasu means to wipe out.
死者[ししゃ]の名[な]を忘[わす]れてはならない,we must not forget the names of the dead; shisha means the deceased.
死[し]んだ者[もの]を蘇[よみがえ]らせる術[じゅつ]はない,there is no art that brings the dead back; yomigaeraseru means to revive.
せめて静[しず]かに供養[くよう]をしてやろう,let us at least hold a quiet memorial for them; kuyou means memorial service.
せめて最期[さいご]まで側[そば]にいてやる,at the very least I will stay beside him to the end; saigo means one's last moments.
これも一[ひと]つの時代[じだい]の終焉[しゅうえん]だ,this too is the end of an era; shuuen means demise.
帝国[ていこく]の崩壊[ほうかい]はもう止[と]まらない,the collapse of the empire can no longer be stopped; houkai means collapse.
この土地[とち]を統治[とうち]するのは誰[だれ]だ,who is it that governs this land; touchi means rule.
民[たみ]を治[おさ]めるのは簡単[かんたん]ではない,governing the people is not a simple thing; osameru means to rule over.
民衆[みんしゅう]の怒[いか]りはもう抑[おさ]えられない,the anger of the masses can no longer be held back; minshuu means the populace.
あの方[かた]の権威[けんい]は今[いま]も強[つよ]い,that person's authority is still strong today; ken'i means authority.
この組織[そしき]の序列[じょれつ]は厳[きび]しい,the pecking order in this organization is strict; joretsu means rank order.
生[う]まれで階級[かいきゅう]が決[き]まる世[よ]だ,it is a world where birth decides your class; kaikyuu means social class.
家柄[いえがら]で人[ひと]を選[えら]ぶのか,do you judge people by their family standing; iegara means family status.
若[わか]くして一族[いちぞく]の当主[とうしゅ]となった,he became head of the clan while still young; toushu means family head.
家臣[かしん]たちが夜[よる]の城[しろ]に集[あつ]まった,the retainers gathered at the castle at night; kashin means vassal.
主君[しゅくん]のために命[いのち]を捨[す]てる覚悟[かくご]だ,I am prepared to give my life for my lord; shukun means liege lord.
従者[じゅうしゃ]を一人[ひとり]だけ連[つ]れて行[い]く,I will take only one attendant with me; juusha means attendant.
死[し]ぬまでこの方[かた]に仕[つか]える,I will serve this person until I die; tsukaeru means to serve.
多[おお]くの兵[へい]を従[したが]えて現[あらわ]れた,he appeared with many soldiers under his command; shitagaeru means to lead as subordinates.
俺[おれ]がこの部隊[ぶたい]を率[ひき]いる,I am the one who leads this unit; hikiiru means to lead.
長[なが]い間[あいだ]この地[ち]に君臨[くんりん]してきた,he has reigned over this land for a long time; kunrin suru means to reign.
王座[おうざ]を狙[ねら]う者[もの]はいくらでもいる,there are any number of people after the throne; ouza means throne.
玉座[ぎょくざ]は今[いま]も空[から]のままだ,the royal seat still remains empty; gyokuza means throne of a sovereign.
新[あたら]しい王[おう]の即位[そくい]が決[き]まった,the new king's accession has been decided; sokui means enthronement.
王座[おうざ]の継承[けいしょう]をめぐって争[あらそ]いが起[お]きた,a struggle broke out over the succession to the throne; keishou means succession.
後継者[こうけいしゃ]はまだ決[き]まっていない,the successor has not been chosen yet; koukeisha means successor.
父[ちち]の名[な]と剣[けん]を受[う]け継[つ]ぐ,I inherit my father's name and his sword; uketsugu means to inherit.
この力[ちから]をお前[まえ]に授[さず]ける,I grant this power to you; sazukeru means to bestow.
王[おう]から直[じか]に剣[けん]を賜[たまわ]る,I receive a sword directly from the king; tamawaru means to be granted.
この命[いのち]を国[くに]に捧[ささ]げる,I offer up this life to my country; sasageru means to dedicate.
最後[さいご]まで人[ひと]のために尽[つ]くす,I will devote myself to others to the very end; tsukusu means to devote oneself.
こちらの打[う]つ手[て]はもう尽[つ]きた,we have run out of moves to make; tsukiru means to run out.
判断[はんだん]は全[すべ]てお前[まえ]に委[ゆだ]ねる,I leave the decision entirely to you; yudaneru means to entrust.
後[あと]のことは若[わか]い者[もの]に託[たく]す,I entrust what comes after to the young; takusu means to entrust.
次[つぎ]の時代[じだい]を担[にな]うのはお前[まえ]たちだ,you are the ones who will carry the next era; ninau means to shoulder.
俺[おれ]は必[かなら]ず約束[やくそく]を果[は]たす,I will fulfill the promise without fail; hatasu means to fulfill.
目的[もくてき]を遂[と]げるまでは死[し]ねない,I cannot die until I accomplish my purpose; togeru means to achieve.
真理[しんり]に至[いた]る道[みち]は一[ひと]つではない,the road that leads to truth is not just one; itaru means to arrive at.
覚悟[かくご]を決[き]めて決戦[けっせん]に臨[のぞ]む,I steel myself and face the decisive battle; nozomu means to confront.
その志[こころざし]だけは忘[わす]れるな,never forget that aspiration of yours; kokorozashi means aspiration.
あの人[ひと]は遠[とお]い未来[みらい]を見据[みす]えている,that person has his eyes fixed on the distant future; misueru means to look squarely at.
誰[だれ]が本当[ほんとう]の敵[てき]か見極[みきわ]める,I will determine who the real enemy is; mikiwameru means to ascertain.
心[こころ]の中[なか]まで見透[みす]かされている,he sees right through into my heart; misukasu means to see through.
今[いま]のうちに全[すべ]て白状[はくじょう]した方[ほう]がいい,you had better confess everything while you still can; hakujou suru means to confess.
俺[おれ]はこの戦[たたか]いの終[お]わりを見届[みとど]ける,I will see the end of this fight with my own eyes; mitodokeru means to witness to the end.
今回[こんかい]だけは見逃[みのが]してやろう,I will let it slide just this once; minogasu means to overlook.
言[い]わなくても気持[きも]ちは察[さっ]する,I can sense how you feel without being told; sassuru means to surmise.
今[いま]は人目[ひとめ]を忍[しの]ぶしかない,for now we can only keep out of sight; shinobu means to conceal oneself.
苦[くる]しみに耐[た]え忍[しの]ぶ日々[ひび]が続[つづ]く,days of enduring the pain go on; taeshinobu means to bear patiently.
運命[うんめい]に抗[あらが]う力[ちから]が欲[ほ]しい,I want the strength to resist fate; aragau means to struggle against.
どんな力[ちから]にも屈[くっ]するものか,as if I would give in to any power; kussuru means to submit.
主君[しゅくん]の命令[めいれい]に背[そむ]くことになる,it would mean going against my lord's order; somuku means to defy.
差[さ]し出[だ]された手[て]を拒[こば]むのか,will you refuse the hand held out to you; kobamu means to reject.
行[い]く手[て]を阻[はば]む者[もの]は許[ゆる]さない,I will not forgive anyone who blocks my way; habamu means to obstruct.
人[ひと]の話[はなし]を途中[とちゅう]で遮[さえぎ]るな,do not cut in while someone is talking; saegiru means to interrupt.
誰[だれ]にも同[おな]じ道[みち]を強[し]いるつもりはない,I have no intention of forcing the same path on anyone; shiiru means to compel.
自分[じぶん]に重[おも]い罰[ばつ]を課[か]す,I impose a heavy punishment on myself; kasu means to impose.
掟[おきて]を破[やぶ]った者[もの]には制裁[せいさい]がある,those who break the code face sanctions; seisai means sanction.
明日[あす]の朝[あさ]に処刑[しょけい]が行[おこな]われる,the execution will take place tomorrow morning; shokei means execution.
あの男[おとこ]は国[くに]から追放[ついほう]された,that man was banished from the country; tsuihou means banishment.
この寺[てら]の戒律[かいりつ]はとても厳[きび]しい,the precepts of this temple are very strict; kairitsu means religious precept.
人[ひと]が人[ひと]を裁[さば]くのは難[むずか]しい,it is hard for people to judge people; sabaku means to judge.
いつか天[てん]の裁[さば]きが下[くだ]るだろう,someday judgment from heaven will fall; sabaki means judgment.
裁判[さいばん]で全[すべ]てを話[はな]すつもりだ,I intend to tell everything at the trial; saiban means trial.
その証言[しょうげん]は嘘[うそ]だと分[わ]かっている,I know that testimony is a lie; shougen means testimony.
証人[しょうにん]はもうこの世[よ]にいない,the witness is no longer in this world; shounin means witness.
あの子[こ]の無実[むじつ]を必[かなら]ず証明[しょうめい]する,I will surely prove that child's innocence; mujitsu means innocence.
彼[かれ]に殺人[さつじん]の容疑[ようぎ]がかかっている,he is under suspicion of murder; yougi means suspicion of a crime.
敵[てき]の密書[みっしょ]をようやく手[て]に入[い]れた,we finally got hold of the enemy's secret letter; missho means secret dispatch.
山[やま]の道[みち]で敵[てき]を待[ま]ち伏[ぶ]せる,we will lie in wait for the enemy on the mountain road; machibuseru means to ambush.
この責任[せきにん]から免[まぬが]れることはできない,I cannot escape this responsibility; manugareru means to be exempted.
どこへ行[い]っても過去[かこ]からは逃[のが]れられない,wherever you go you cannot escape your past; nogareru means to flee from.
その一言[ひとこと]が国[くに]を揺[ゆ]るがす,that single word shakes the whole country; yurugasu means to shake.
この結果[けっか]を覆[くつがえ]すのは無理[むり]だ,overturning this result is impossible; kutsugaesu means to overturn.
俺[おれ]はあの男[おとこ]を告発[こくはつ]するつもりだ,I intend to denounce that man; kokuhatsu suru means to accuse publicly.
人[ひと]の記憶[きおく]を操作[そうさ]する術[じゅつ]があるらしい,apparently there is an art that manipulates memory; sousa suru means to manipulate.
